[framework] 2017-08-08 11:31:54,600  [INFO]  com.basic.DriverFactory.createAndroidDriver(DriverFactory.java:44)  [0] | APP启动成功
[framework] 2017-08-08 11:31:54,614  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [14] | --------------searchArticleForContentText1 Start-----------
[framework] 2017-08-08 11:31:54,805  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [205] | pageName is:tab栏
[framework] 2017-08-08 11:32:00,109  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [5509] | pageName is:firstPage
[framework] 2017-08-08 11:32:01,706  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [7106] | pageName is:searchPage
[framework] 2017-08-08 11:32:07,662  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [13062] | pageName is:searchPage
[framework] 2017-08-08 11:32:11,416  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [16816] | pageName is:searchPage
[framework] 2017-08-08 11:32:13,029  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [18429] | pageName is:searchPage
[framework] 2017-08-08 11:32:13,147  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [18547] | pageName is:commonButton
[framework] 2017-08-08 11:32:13,422  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [18822] | pageName is:searchPage
[framework] 2017-08-08 11:32:17,195  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [22595] | searchArticleForContentText1Test Success√√√√√√√√√√
[framework] 2017-08-08 11:32:17,197  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [22597] | --------------searchArticleForContentText2 Start-----------
[framework] 2017-08-08 11:32:17,203  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [22603] | pageName is:tab栏
[framework] 2017-08-08 11:32:19,255  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [24655] | pageName is:firstPage
[framework] 2017-08-08 11:32:20,418  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [25818] | pageName is:searchPage
[framework] 2017-08-08 11:32:26,404  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [31804] | pageName is:searchPage
[framework] 2017-08-08 11:32:30,145  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [35545] | pageName is:searchPage
[framework] 2017-08-08 11:32:31,787  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [37187] | pageName is:searchPage
[framework] 2017-08-08 11:32:31,861  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [37261] | pageName is:commonButton
[framework] 2017-08-08 11:32:32,111  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [37511] | pageName is:searchPage
[framework] 2017-08-08 11:32:35,859  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [41259] | searchArticleForContentText2Test Success√√√√√√√√√√
[framework] 2017-08-08 11:32:35,867  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [41267] | --------------searchArticleForContentText3 Start-----------
[framework] 2017-08-08 11:32:35,884  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [41284] | pageName is:tab栏
[framework] 2017-08-08 11:32:37,912  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [43312] | pageName is:firstPage
[framework] 2017-08-08 11:32:39,812  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [45212] | pageName is:searchPage
[framework] 2017-08-08 11:32:45,828  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [51228] | pageName is:searchPage
[framework] 2017-08-08 11:32:49,570  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [54970] | pageName is:searchPage
[framework] 2017-08-08 11:32:51,000  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [56400] | pageName is:searchPage
[framework] 2017-08-08 11:32:51,127  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [56527] | pageName is:commonButton
[framework] 2017-08-08 11:32:51,422  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [56822] | pageName is:searchPage
[framework] 2017-08-08 11:32:55,188  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [60588] | searchArticleForContentText3Test Success√√√√√√√√√√
[framework] 2017-08-08 11:32:55,190  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [60590] | --------------searchArticleForContentText4 Start-----------
[framework] 2017-08-08 11:32:55,195  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [60595] | pageName is:tab栏
[framework] 2017-08-08 11:32:57,224  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [62624] | pageName is:firstPage
[framework] 2017-08-08 11:32:58,536  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [63936] | pageName is:searchPage
[framework] 2017-08-08 11:33:04,759  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [70159] | pageName is:searchPage
[framework] 2017-08-08 11:33:08,496  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [73896] | pageName is:searchPage
[framework] 2017-08-08 11:33:10,448  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [75848] | pageName is:searchPage
[framework] 2017-08-08 11:33:10,532  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [75932] | pageName is:commonButton
[framework] 2017-08-08 11:33:10,783  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [76183] | pageName is:searchPage
[framework] 2017-08-08 11:33:14,560  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [79960] | searchArticleForContentText4Test Success√√√√√√√√√√
[framework] 2017-08-08 11:33:14,563  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [79963] | --------------searchArticleForContentText5 Start-----------
[framework] 2017-08-08 11:33:14,567  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [79967] | pageName is:tab栏
[framework] 2017-08-08 11:33:16,612  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [82012] | pageName is:firstPage
[framework] 2017-08-08 11:33:18,302  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [83702] | pageName is:searchPage
[framework] 2017-08-08 11:33:24,464  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [89864] | pageName is:searchPage
[framework] 2017-08-08 11:33:28,242  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [93642] | pageName is:searchPage
[framework] 2017-08-08 11:33:30,293  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [95693] | pageName is:searchPage
[framework] 2017-08-08 11:33:30,374  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [95774] | pageName is:commonButton
[framework] 2017-08-08 11:33:30,632  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [96032] | pageName is:searchPage
[framework] 2017-08-08 11:33:34,395  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [99795] | searchArticleForContentText5Test Success√√√√√√√√√√
[framework] 2017-08-08 11:33:34,397  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [99797] | --------------searchArticleForContentText6 Start-----------
[framework] 2017-08-08 11:33:34,401  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [99801] | pageName is:tab栏
[framework] 2017-08-08 11:33:36,447  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [101847] | pageName is:firstPage
[framework] 2017-08-08 11:33:38,297  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [103697] | pageName is:searchPage
[framework] 2017-08-08 11:33:44,295  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [109695] | pageName is:searchPage
[framework] 2017-08-08 11:33:48,535  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [113935] | pageName is:searchPage
[framework] 2017-08-08 11:33:53,612  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [119012] | pageName is:commonButton
[framework] 2017-08-08 11:33:53,833  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [119233] | pageName is:searchPage
[framework] 2017-08-08 11:33:57,619  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [123019] | searchArticleForContentText6Test Success√√√√√√√√√√
[framework] 2017-08-08 11:33:57,622  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [123022] | --------------searchArticleForContentText7 Start-----------
[framework] 2017-08-08 11:33:57,627  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [123027] | pageName is:tab栏
[framework] 2017-08-08 11:33:59,668  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [125068] | pageName is:firstPage
[framework] 2017-08-08 11:34:00,993  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [126393] | pageName is:searchPage
[framework] 2017-08-08 11:34:07,939  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [133339] | pageName is:searchPage
[framework] 2017-08-08 11:34:12,071  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [137471] | pageName is:searchPage
[framework] 2017-08-08 11:34:17,350  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [142750] | pageName is:commonButton
